"filename", "language", "Markdown", "Python", "JSON", "Properties", "XML", "comment", "blank", "total"
"d:\pythonProject1\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 19, 0, 0, 19
"d:\pythonProject1\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"d:\pythonProject1\.idea\misc.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 4
"d:\pythonProject1\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 8
"d:\pythonProject1\.idea\other.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"d:\pythonProject1\.idea\pythonProject1.iml", "XML", 0, 0, 0, 0, 10, 0, 0, 10
"d:\pythonProject1\.idea\vcs.xml", "XML", 0, 0, 0, 0, 7, 0, 0, 7
"d:\pythonProject1\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 1, 2
"d:\pythonProject1\all_commands.json", "JSON", 0, 0, 200, 0, 0, 0, 0, 200
"d:\pythonProject1\application.py", "Python", 0, 49, 0, 0, 0, 8, 9, 66
"d:\pythonProject1\assets\vosk-model-en-us-daanzu-20200905-lgraph\conf\mfcc.conf", "Properties", 0, 0, 0, 6, 0, 0, 1, 7
"d:\pythonProject1\assets\vosk-model-en-us-daanzu-20200905-lgraph\conf\model.conf", "Properties", 0, 0, 0, 10, 0, 0, 1, 11
"d:\pythonProject1\assets\vosk-model-en-us-daanzu-20200905-lgraph\graph\phones\optional_silence.csl", "XML", 0, 0, 0, 0, 1, 0, 1, 2
"d:\pythonProject1\assets\vosk-model-en-us-daanzu-20200905-lgraph\graph\phones\silence.csl", "XML", 0, 0, 0, 0, 1, 0, 1, 2
"d:\pythonProject1\assets\vosk-model-en-us-daanzu-20200905-lgraph\ivector\online_cmvn.conf", "Properties", 0, 0, 0, 0, 0, 1, 1, 2
"d:\pythonProject1\assets\vosk-model-en-us-daanzu-20200905-lgraph\ivector\splice.conf", "Properties", 0, 0, 0, 2, 0, 0, 1, 3
"d:\pythonProject1\comlpex_actions.py", "Python", 0, 26, 0, 0, 0, 3, 4, 33
"d:\pythonProject1\command.py", "Python", 0, 8, 0, 0, 0, 0, 5, 13
"d:\pythonProject1\command_interpretor.py", "Python", 0, 24, 0, 0, 0, 0, 4, 28
"d:\pythonProject1\commands\brightness.py", "Python", 0, 24, 0, 0, 0, 0, 5, 29
"d:\pythonProject1\commands\close.py", "Python", 0, 12, 0, 0, 0, 4, 4, 20
"d:\pythonProject1\commands\new_notepad.py", "Python", 0, 16, 0, 0, 0, 1, 4, 21
"d:\pythonProject1\commands\new_word.py", "Python", 0, 17, 0, 0, 0, 15, 7, 39
"d:\pythonProject1\commands\open.py", "Python", 0, 17, 0, 0, 0, 0, 4, 21
"d:\pythonProject1\commands\save.py", "Python", 0, 17, 0, 0, 0, 0, 4, 21
"d:\pythonProject1\commands\send_email.py", "Python", 0, 17, 0, 0, 0, 0, 4, 21
"d:\pythonProject1\commands\vosk_dictation.py", "Python", 0, 101, 0, 0, 0, 2, 14, 117
"d:\pythonProject1\commands\write.py", "Python", 0, 17, 0, 0, 0, 0, 4, 21
"d:\pythonProject1\computer_actions.py", "Python", 0, 58, 0, 0, 0, 0, 12, 70
"d:\pythonProject1\convert_text.py", "Python", 0, 48, 0, 0, 0, 14, 11, 73
"d:\pythonProject1\execution.py", "Python", 0, 89, 0, 0, 0, 3, 21, 113
"d:\pythonProject1\images\vosk_voice.py", "Python", 0, 85, 0, 0, 0, 3, 7, 95
"d:\pythonProject1\key_action.py", "Python", 0, 18, 0, 0, 0, 2, 4, 24
"d:\pythonProject1\main.py", "Python", 0, 20, 0, 0, 0, 8, 3, 31
"d:\pythonProject1\notepad.py", "Python", 0, 44, 0, 0, 0, 2, 7, 53
"d:\pythonProject1\outlook.py", "Python", 0, 47, 0, 0, 0, 1, 6, 54
"d:\pythonProject1\speak.py", "Python", 0, 50, 0, 0, 0, 0, 10, 60
"d:\pythonProject1\utils.py", "Python", 0, 32, 0, 0, 0, 0, 7, 39
"d:\pythonProject1\vost_text.py", "Python", 0, 77, 0, 0, 0, 4, 12, 93
"d:\pythonProject1\word.py", "Python", 0, 77, 0, 0, 0, 2, 14, 93
"d:\pythonProject1\write_commands.json", "JSON", 0, 0, 305, 0, 0, 0, 0, 305
"d:\pythonProject1\write_text.py", "Python", 0, 44, 0, 0, 0, 0, 8, 52
"Total", "-", 1, 1034, 505, 18, 62, 73, 201, 1894
